endTime,artistName,trackName,msPlayed
2023-07-13 17:38,Imagine Dragons,Bones,730
2023-07-13 17:38,USHER,OMG (feat. will.i.am),265264
2023-07-13 17:39,Justin Bieber,As Long As You Love Me,74577
2023-07-13 17:43,Shakira,La Tortura (feat. Alejandro Sanz),212893
2023-07-13 17:46,USHER,Yeah! (feat. Lil Jon & Ludacris),250373
2023-07-13 17:50,Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),222520
2023-07-13 17:50,Kesha,TiK ToK,10345
2023-07-13 17:50,DJ Snake,Let Me Love You,4712
2023-07-13 18:01,Rihanna,S&M,52383
2023-07-14 17:46,Rihanna,S&M,191411
2023-07-14 17:56,Sean Paul,No Lie,31268
2023-07-15 12:48,One Direction,Drag Me Down,456
2023-07-15 12:48,Blue,One Love,1858
2023-07-15 12:48,Kesha,TiK ToK,1065
2023-07-15 12:52,Rihanna,S&M,243600
2023-07-15 12:56,Pitbull,Feel This Moment (feat. Christina Aguilera),229506
2023-07-15 12:57,Zara Larsson,Lush Life,1301
2023-07-15 12:57,Katy Perry,California Gurls,66412
2023-07-15 12:57,Sam Smith,Unholy (feat. Kim Petras),1384
2023-07-15 13:00,Ariana Grande,Side To Side,226160
2023-07-15 13:01,Lady Gaga,Just Dance,52337
2023-07-15 13:05,DNCE,Cake By The Ocean,1130
2023-07-15 13:05,Katy Perry,Last Friday Night (T.G.I.F.),1370
2023-07-15 13:05,Britney Spears,Gimme More,12836
2023-07-15 13:05,Sean Paul,No Lie,221176
2023-07-15 13:08,The Weeknd,Can't Feel My Face,213520
2023-07-15 13:13,Rihanna,Don't Stop The Music,267080
2023-07-15 13:15,will.i.am,Scream & Shout,149270
2023-07-15 13:18,Dua Lipa,Levitating (feat. DaBaby),203064
2023-07-15 13:22,Timbaland,Give It To Me,234026
2023-07-15 13:22,Lady Gaga,Applause,30502
2023-07-15 13:23,Katy Perry,E.T.,2430
2023-07-15 13:27,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",940
2023-07-15 13:27,One Direction,What Makes You Beautiful,1526
2023-07-15 13:27,Pitbull,I Know You Want Me (Calle Ocho),10499
2023-07-15 13:27,Sia,"Genius (feat. Sia, Diplo, and Labrinth)",1017
2023-07-15 13:27,Justin Bieber,All Around The World,244546
2023-07-15 13:27,David Guetta,Play Hard (feat. Ne-Yo & Akon),50853
2023-07-15 13:28,Katy Perry,Bon Appétit,577
2023-07-15 13:28,The Wanted,Chasing The Sun,525
2023-07-15 13:28,Madcon,Don't Worry (with Ray Dalton) - Radio Edit,1361
2023-07-15 13:28,David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),23
2023-07-15 13:28,Hande Yener,Ya Ya Ya Ya,9323
2023-07-15 13:28,Shakira,Hips Don't Lie (feat. Wyclef Jean),23
2023-07-15 13:28,Shawn Mendes,Señorita,44
2023-07-15 13:28,Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),1234
2023-07-15 13:28,Katy Perry,Harleys In Hawaii,10
2023-07-15 13:28,David Guetta,Titanium (feat. Sia),738
2023-07-15 13:28,The Kid LAROI,STAY (with Justin Bieber),674
2023-07-15 13:28,Ava Max,My Head & My Heart,0
2023-07-15 13:28,Selena Gomez,Come & Get It,1561
2023-07-15 13:28,Selena Gomez,Come & Get It,92
2023-07-15 13:28,Justin Bieber,Never Say Never,324
2023-07-15 13:29,Flo Rida,"Turn Around (5,4,3,2,1)",23
2023-07-15 13:29,Lil Nas X,Old Town Road,837
2023-07-15 13:29,Drake,God's Plan,732
2023-07-15 13:29,David Guetta,Who's That Chick? (feat. Rihanna),23
2023-07-15 13:29,Jeremih,Down On Me,1670
2023-07-15 13:29,50 Cent,Ayo Technology,868
2023-07-15 13:29,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),1876
2023-07-15 13:29,Future,Mask Off,23
2023-07-15 13:33,Post Malone,Wow.,15087
2023-07-15 13:33,JAY-Z,Ni**as In Paris,219333
2023-07-15 13:33,Kesha,TiK ToK,13828
2023-07-15 13:37,Wiz Khalifa,Black and Yellow,217666
2023-07-15 13:50,Kanye West,Stronger,186077
2023-07-16 09:40,Sharn,Mi Amor,1311
2023-07-16 09:40,DIVINE,Chorni,87148
2023-07-16 09:40,Shree Brar,Yahama,2313
2023-07-16 09:41,Sharn,Mi Amor,37743
2023-07-16 09:41,Shree Brar,Yahama,5154
2023-07-16 09:44,Laddi Chahal,Rubicon Drill,33381
2023-07-16 09:44,Cheema Y,California Love,177603
2023-07-16 09:44,Deepak Dhillon,Jail,13573
2023-07-16 09:44,Sidhu Moose Wala,295,1238
2023-07-16 09:45,Varinder Brar,Thaa,942
2023-07-16 09:45,Arjan Dhillon,Tape 2,11074
2023-07-16 09:45,Avvy Sra,White Brown Black,847
2023-07-16 09:46,Talwiinder,Khayaal,10598
2023-07-16 09:46,Arjan Dhillon,Ilzaam,9584
2023-07-16 09:46,Ninja,Death Row,10105
2023-07-16 09:46,Jassa Dhillon,SPAIN,45720
2023-07-16 09:46,Diljit Dosanjh,Lemonade,18817
